SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
17,S17,3,13.6119065000003,1,3,5,6,0.0,22.6318074000004,2.33333333333333,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,4,16.0306591000008,2,3,5,6,0.0,16.0306591000008,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,5,4.25423079999928,2,1,1,2,0.0,10.14244495,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,6,9.39162450000003,2,2,3,4,2.0,9.8921714666667,0.666666666666667,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,7,3.48699580000175,3,2,3,4,0.0,3.48699580000175,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,8,4.85471110000071,3,3,5,6,0.0,4.17085345000123,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,9,10.1766988000018,3,1,1,2,2.0,6.17280190000141,0.666666666666667,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,10,3.1201932999993,4,1,1,2,0.0,3.1201932999993,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,11,6.38940019999973,4,3,5,6,0.0,4.75479674999951,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,12,3.6538858999993,4,2,3,4,0.0,4.38782646666611,0.0,2025-12-06,SPtask1-17-2025-12-06.csv
18,S18,1,8.33734840000011,1,3,5,6,0.0,8.33734840000011,0.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,2,2.50397869999961,1,1,1,2,0.0,5.42066354999986,0.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,3,8.23935309999979,1,2,3,4,2.0,6.36022673333317,0.666666666666667,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,4,6.23233380000011,2,2,3,4,0.0,6.23233380000011,0.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,5,6.53701240000009,2,3,5,6,2.0,6.3846731000001,1.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,6,9.48524990000033,2,1,1,2,0.0,7.41819870000018,0.666666666666667,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,7,4.03447020000021,3,1,1,2,1.0,4.03447020000021,1.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,8,4.43804720000026,3,3,5,6,0.0,4.23625870000024,0.5,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,9,3.05268870000009,3,2,3,4,0.0,3.84173536666685,0.333333333333333,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,10,5.05614690000039,4,3,5,6,0.0,5.05614690000039,0.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,11,10.2223204999996,4,1,1,2,1.0,7.63923369999998,0.5,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,12,3.96755819999998,4,2,3,4,0.0,6.41534186666665,0.333333333333333,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,13,6.35616590000018,5,1,1,2,2.0,6.35616590000018,2.0,2026-04-12,SPtask1-18-2026-04-12.csv
18,S18,14,7.16724490000024,5,3,5,6,0.0,6.76170540000021,1.0,2026-04-12,SPtask1-18-2026-04-12.csv
