SubNo,raw_village_pair,pair_condition,estimate_type,n_matches,center_x_0to10,center_y_0to10,distance_to_true,distance_to_derived,true_center_x,true_center_y
45,AB,near,cross_edges,3,5.026737967914439,5.508021390374331,1.46968722524548,0.5863163441018896,5.112,6.949
45,AB,near,same_edges,2,5.160427807486631,6.925133689839572,0.6751695555917703,0.703088911746359,5.112,6.949
45,AC,far,cross_edges,2,4.89754656501329,4.891765607390644,1.1878583325445533,0.8437576502880921,4.4395,4.4395
45,AC,far,same_edges,2,4.553589274832753,4.539997583224087,0.7926971081948122,0.5987215445670325,4.4395,4.4395
45,BC,unknown,cross_edges,2,5.88595028190354,5.424912653625968,1.1346083530154218,1.5207024497014714,6.949,5.111999999999999
45,BC,unknown,same_edges,2,7.219251336898395,4.81283422459893,0.5992524000727165,0.9341618138767667,6.949,5.111999999999999
47,AB,near,cross_edges,2,5.254691689008043,6.568364611260053,0.4478010931860178,0.8758502703108628,5.112,6.949
47,AB,near,same_edges,2,5.254691689008043,6.916890080428955,0.21609235351422212,0.22908665841627537,5.112,6.949
47,AC,far,cross_edges,2,4.691689008042895,4.50402144772118,0.2603976075212172,0.20623545317874603,4.4395,4.4395
47,AC,far,same_edges,2,4.638069705093834,4.50402144772118,0.20895602885080775,0.3644339577063765,4.4395,4.4395
47,BC,unknown,cross_edges,2,6.916890080428955,5.013404825737265,0.13397223651298454,0.7683705887060316,6.949,5.111999999999999
47,BC,unknown,same_edges,2,6.970509383378016,5.549597855227882,0.6193872134163714,0.7166781969467382,6.949,5.111999999999999
49,AB,near,cross_edges,3,4.81283422459893,7.32620320855615,0.519683191795454,0.40813736691106234,5.112,6.949
49,AB,near,same_edges,2,4.9097263032265515,5.499086513835953,1.4640139898835063,1.5066076801761903,5.112,6.949
49,AC,far,cross_edges,2,4.304812834224599,4.304812834224599,0.19914864641701352,0.1212709600516772,4.4395,4.4395
49,AC,far,same_edges,2,3.8502673796791447,3.9037433155080214,0.7968345295614,1.4412226200983178,4.4395,4.4395
49,BC,unknown,cross_edges,2,7.308065113128499,4.92731899639873,0.44046985859457044,0.7437901744222759,6.949,5.111999999999999
49,BC,unknown,same_edges,2,6.6310160427807485,4.705882352941176,0.5160387639185002,1.9739517319221904,6.949,5.111999999999999
